"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,1,0,1,0,1,0,0.05
1.5351e-23,1,1,0,1,0.0070711,0.995,0.005,0.05
-3.6491e-23,1,1,0,1,0.014142,0.99,0.01,0.05
-6.1498e-22,1,1,0,1,0.021213,0.985,0.015,0.05
-1.2575e-21,1,1,0,1,0.028284,0.98,0.02,0.05
1.3342e-21,1,1,0,1,0.035355,0.975,0.025,0.05
5.6209e-21,1,1,0,1,0.042426,0.97,0.03,0.05
8.7177e-21,1,1,0,1,0.049497,0.965,0.035,0.05
6.8866e-21,1,1,0,1,0.056569,0.96,0.04,0.05
-4.3869e-20,1,1,0,1,0.06364,0.955,0.045,0.05
-1.0727e-19,1,1,0,1,0.070711,0.95,0.05,0.05
-2.3606e-20,1,1,0,1,0.077782,0.945,0.055,0.05
1.6217e-19,1,1,0,1,0.084853,0.94,0.06,0.05
6.2238e-19,1,1,0,1,0.091924,0.935,0.065,0.05
9.9313e-19,1,1,0,1,0.098995,0.93,0.07,0.05
-9.9823e-19,1,1,0,1,0.10607,0.925,0.075,0.05
-3.9665e-18,1,1,0,1,0.11314,0.92,0.08,0.05
-4.9429e-18,1,1,0,1,0.12021,0.915,0.085,0.05
-2.873e-18,1,1,0,1,0.12728,0.91,0.09,0.05
1.9396e-17,1,1,0,1,0.13435,0.905,0.095,0.05
4.5283e-17,1,1,0,1,0.14142,0.9,0.1,0.05
1.3998e-17,1,1,0,1,0.14849,0.895,0.105,0.05
-5.2742e-17,1,1,0,1,0.15556,0.89,0.11,0.05
-1.9959e-16,1,1,0,1,0.16263,0.885,0.115,0.05
-3.1406e-16,1,1,0,1,0.16971,0.88,0.12,0.05
1.9245e-16,1,1,0,1,0.17678,0.875,0.125,0.05
9.3757e-16,1,1,0,1,0.18385,0.87,0.13,0.05
1.331e-15,1,1,0,1,0.19092,0.865,0.135,0.05
1.0811e-15,1,1,0,1,0.19799,0.86,0.14,0.05
-3.3403e-15,1,1,0,1,0.20506,0.855,0.145,0.05
-8.5314e-15,1,1,0,1,0.21213,0.85,0.15,0.05
-5.2151e-15,1,1,0,1,0.2192,0.845,0.155,0.05
3.7411e-15,1,1,0,1,0.22627,0.84,0.16,0.05
2.9441e-14,1,1,0,1,0.23335,0.835,0.165,0.05
5.2381e-14,1,1,0,1,0.24042,0.83,0.17,0.05
-8.358e-16,1,1,0,1,0.24749,0.825,0.175,0.05
-8.5872e-14,1,1,0,1,0.25456,0.82,0.18,0.05
-1.8049e-13,1,1,0,1,0.26163,0.815,0.185,0.05
-2.1875e-13,1,1,0,1,0.2687,0.81,0.19,0.05
1.9407e-13,1,1,0,1,0.27577,0.805,0.195,0.05
7.2031e-13,1,1,0,1,0.28284,0.8,0.2,0.05
8.092e-13,1,1,0,1,0.28991,0.795,0.205,0.05
4.6485e-13,1,1,0,1,0.29698,0.79,0.21,0.05
-1.7844e-12,1,1,0,1,0.30406,0.785,0.215,0.05
-4.1478e-12,1,1,0,1,0.31113,0.78,0.22,0.05
-2.4342e-12,1,1,0,1,0.3182,0.775,0.225,0.05
1.553e-12,1,1,0,1,0.32527,0.77,0.23,0.05
1.0661e-11,1,1,0,1,0.33234,0.765,0.235,0.05
1.7897e-11,1,1,0,1,0.33941,0.76,0.24,0.05
1.2253e-12,1,1,0,1,0.34648,0.755,0.245,0.05
-2.4124e-11,1,1,0,1,0.35355,0.75,0.25,0.05
-4.7024e-11,1,1,0,1,0.36062,0.745,0.255,0.05
-5.026e-11,1,1,0,1,0.3677,0.74,0.26,0.05
5.1862e-11,1,1,0,1,0.37477,0.735,0.265,0.05
1.6941e-10,1,1,0,1,0.38184,0.73,0.27,0.05
1.159e-10,1,1,0,1,0.38891,0.725,0.275,0.05
-7.6871e-11,1,1,0,1,0.39598,0.72,0.28,0.05
-5.4912e-10,1,1,0,1,0.40305,0.715,0.285,0.05
-8.5743e-10,1,1,0,1,0.41012,0.71,0.29,0.05
6.6956e-10,1,1,0,1,0.41719,0.705,0.295,0.05
3.0417e-09,1,1,0,1,0.42426,0.7,0.3,0.05
4.2447e-09,1,1,0,1,0.43134,0.695,0.305,0.05
2.5503e-09,1,1,0,1,0.43841,0.69,0.31,0.05
-1.5138e-08,1,1,0,1,0.44548,0.685,0.315,0.05
-3.747e-08,1,1,0,1,0.45255,0.68,0.32,0.05
-3.1373e-08,1,1,0,1,0.45962,0.675,0.325,0.05
