arc_length,t100,t50,q50,q100
0.59397,-8.7229e-06,6.6218e-05,-0.012698,0.00040893
0.60104,-1.739e-05,-0.00035342,-0.019924,0.0016515
0.60811,-2.0202e-05,-0.0024724,-0.026902,0.0030392
0.61518,2.9957e-05,-0.0045923,-0.033632,0.0036518
0.62225,0.00017918,-0.0070774,-0.040115,0.0034391
0.62933,0.00034226,-0.0096894,-0.038137,-0.00132
0.6364,0.00042684,-0.011826,-0.032736,-0.008153
0.64347,-0.00027037,-0.010702,-0.02391,-0.020372
0.65054,-0.0024772,-0.0080949,-0.011661,-0.033396
0.65761,-0.0063969,0.0065682,0.025123,-0.040777
0.66468,-0.01026,0.028099,0.067593,-0.042797
0.67175,-0.011152,0.054431,0.11575,-0.016045
0.67882,0.0050689,0.12083,0.1696,0.024267
0.68589,0.057094,0.18724,0.24778,0.1111
0.69296,0.15954,0.27615,0.32891,0.21373
0.70004,0.30421,0.38546,0.41298,0.3533
0.70711,0.50247,0.50021,0.5,0.5
0.71418,0.69333,0.61553,0.58702,0.6467
0.72125,0.84394,0.72123,0.67109,0.78627
0.72832,0.94487,0.81158,0.75222,0.8889
0.73539,0.99422,0.8931,0.8304,0.97573
0.74246,1.0102,0.93391,0.88425,1.016
0.74953,1.0107,0.97309,0.93241,1.0428
0.7566,1.0068,0.99644,0.97488,1.0408
0.76368,1.0028,1.0051,1.0117,1.0334
0.77075,1.0004,1.0131,1.0239,1.0204
0.77782,0.99949,1.0113,1.0327,1.0082
0.78489,0.99961,1.009,1.0381,1.0013
0.79196,0.99982,1.0065,1.0401,0.99656
0.79903,0.99997,1.0038,1.0336,0.99635
0.8061,1,1.0016,1.0269,0.99696
0.81317,1,1.0007,1.0199,0.99835
0.82024,1,0.9998,1.0127,0.99959
0.82731,1,0.99951,1.0078,1.0001
0.83439,1,0.99956,1.0036,1.0004
0.84146,1,0.99962,1.0001,1.0003
0.84853,1,0.99976,0.99726,1.0002
0.8556,1,0.99988,0.99703,1.0001
0.86267,1,0.99995,0.99704,0.99997
0.86974,1,0.99999,0.99729,0.99997
0.87681,1,1,0.99778,0.99997
0.88388,1,1,0.99846,0.99999
0.89095,1,1,0.99907,1
0.89803,1,1,0.9996,1
0.9051,1,1,1.0001,1
0.91217,1,1,1.0002,1
0.91924,1,1,1.0002,1
0.92631,1,1,1.0003,1
0.93338,1,1,1.0002,1
0.94045,1,1,1.0002,1
0.94752,1,1,1.0001,1
0.95459,1,1,1,1
0.96167,1,1,1,1
0.96874,1,1,0.99998,1
0.97581,1,1,0.99998,1
0.98288,1,1,0.99998,1
0.98995,1,1,0.99998,1
0.99702,1,1,0.99999,1
1.0041,1,1,0.99999,1
1.0112,1,1,1,1
1.0182,1,1,1,1
1.0253,1,1,1,1
1.0324,1,1,1,1
1.0394,1,1,1,1
1.0465,1,1,1,1
1.0536,1,1,1,1
1.0607,1,1,1,1
1.0677,1,1,1,1
1.0748,1,1,1,1
1.0819,1,1,1,1
1.0889,1,1,1,1
1.096,1,1,1,1
1.1031,1,1,1,1
1.1102,1,1,1,1
1.1172,1,1,1,1
1.1243,1,1,1,1
1.1314,1,1,1,1
1.1384,1,1,1,1
1.1455,1,1,1,1
1.1526,1,1,1,1
1.1597,1,1,1,1
1.1667,1,1,1,1
1.1738,1,1,1,1
1.1809,1,1,1,1
1.1879,1,1,1,1
1.195,1,1,1,1
1.2021,1,1,1,1
