T,U:0,p
"348,43","6,05E-12",100000
"348,43","1,18E-11",100000
"348,43","5,10E-11",100000
"348,43","3,11E-10",100000
"348,43","1,97E-09",100000
"348,43","1,19E-08",100000
"348,43","6,65E-08",100000
"348,43","3,46E-07",100000
"348,43","1,66E-06",100000
"348,43","7,38E-06",100000
"348,43","3,03E-05",100000
"348,43","0,00011474",100000
"348,43","0,00040033",100000
"348,43","0,0012855",100000
"348,43","0,0037948",99999
"348,43","0,010288",99996
"348,42","0,025596",99990
"348,41","0,058421",99978
"348,39","0,1224",99954
"348,34","0,23586",99912
"348,28","0,4195",99843
"348,17","0,69239",99741
"348,03","1,0678",99602
"347,85","1,5508",99422
"347,63","2,1385",99203
"347,38","2,822",98950
"347,1","3,5891",98666
"346,78","4,4269",98357
"346,45","5,323",98027
"346,1","6,2666",97681
"345,73","7,2488",97321
"345,36","8,2623",96952
"344,97","9,3011",96574
"344,58","10,361",96190
"344,18","11,437",95802
"343,78","12,528",95410
"343,37","13,63",95014
"342,96","14,742",94617
"342,54","15,863",94218
"342,13","16,991",93818
"341,71","18,125",93418
"341,29","19,264",93017
"340,86","20,408",92616
"340,44","21,555",92215
"340,02","22,707",91814
"339,59","23,861",91414
"339,17","25,018",91014
"338,74","26,177",90615
"338,31","27,338",90217
"337,89","28,501",89820
"337,46","29,666",89423
"337,03","30,832",89028
"336,6",32,88633
"336,17","33,169",88240
"335,75","34,339",87848
"335,32","35,51",87457
"334,89","36,682",87067
"334,46","37,855",86678
"334,03","39,029",86291
"333,6","40,203",85905
"333,18","41,378",85520
"332,75","42,553",85136
"332,32","43,73",84754
"331,89","44,906",84373
"331,46","46,084",83993
"331,03","47,261",83615
"330,61","48,439",83238
"330,18","49,618",82862
"329,75","50,797",82488
"329,32","51,976",82115
"328,9","53,155",81743
"328,47","54,335",81373
"328,04","55,515",81003
"327,61","56,695",80636
"327,19","57,876",80270
"326,76","59,057",79905
"326,33","60,238",79541
"325,91","61,419",79179
"325,48","62,601",78818
"325,06","63,783",78458
"324,63","64,964",78100
"324,21","66,146",77743
"323,78","67,329",77388
"323,36","68,511",77034
"322,93","69,694",76681
"322,51","70,876",76329
"322,08","72,059",75979
"321,66","73,242",75630
"321,24","74,425",75283
"320,81","75,608",74937
"320,39","76,791",74592
"319,97","77,975",74249
"319,54","79,158",73907
"319,12","80,342",73566
"318,7","81,525",73226
"318,28","82,709",72888
"317,85","83,893",72551
"317,43","85,077",72216
"317,01","86,261",71882
"316,59","87,445",71549
"316,17","88,629",71217
"315,75","89,813",70887
"315,33","90,997",70558
"314,91","92,182",70230
"314,49","93,366",69904
"314,07","94,551",69578
"313,65","95,735",69255
"313,23","96,92",68932
"312,81","98,104",68611
"312,4","99,289",68291
"311,98","100,47",67972
"311,56","101,66",67654
"311,14","102,84",67338
"310,72","104,03",67023
"310,31","105,21",66710
"309,89","106,4",66397
"309,47","107,58",66086
"309,06","108,77",65776
"308,64","109,95",65467
"308,23","111,14",65160
"307,81","112,32",64853
"307,4","113,51",64548
"306,98","114,69",64244
"306,57","115,88",63942
"306,15","117,06",63640
"305,74","118,25",63340
"305,32","119,43",63041
"304,91","120,62",62743
"304,5","121,8",62447
"304,08","122,99",62151
"303,67","124,17",61857
"303,26","125,36",61564
"302,85","126,54",61273
"302,44","127,73",60982
"302,02","128,91",60693
"301,61","130,1",60404
"301,2","131,28",60117
"300,79","132,47",59831
"300,38","133,66",59546
"299,97","134,84",59263
"299,56","136,03",58980
"299,15","137,21",58699
"298,74","138,4",58419
"298,33","139,58",58140
"297,92","140,77",57862
"297,51","141,95",57585
"297,11","143,14",57310
"296,7","144,32",57035
"296,29","145,51",56762
"295,88","146,69",56490
"295,48","147,88",56219
"295,07","149,06",55949
"294,66","150,25",55680
"294,26","151,43",55412
"293,85","152,62",55146
"293,45","153,81",54880
"293,04","154,99",54616
"292,63","156,18",54352
"292,23","157,36",54090
"291,82","158,55",53829
"291,42","159,73",53569
