# Region      : all 
# Cells       : 7700
# Volume      : 4.962599e-03
# Time        	volIntegrate(alpha.water)
0.00119048    	6.190941e-04
0.00258503    	6.190941e-04
0.00422003    	6.190941e-04
0.00612753    	6.190941e-04
0.00832115    	6.190941e-04
0.0109261     	6.190941e-04
0.0139318     	6.190941e-04
0.0175386     	6.190941e-04
0.0215963     	6.190941e-04
0.0263302     	6.190941e-04
0.0310642     	6.190941e-04
0.0357981     	6.190941e-04
0.0405321     	6.190941e-04
0.0436881     	6.190941e-04
0.046844      	6.190941e-04
0.05          	6.190941e-04
0.0533333     	6.190941e-04
0.0569231     	6.190941e-04
0.0605128     	6.190941e-04
0.0638034     	6.190941e-04
0.067094      	6.190941e-04
0.0703846     	6.190941e-04
0.0736752     	6.190941e-04
0.0766002     	6.190941e-04
0.0795252     	6.190940e-04
0.0824501     	6.190940e-04
0.0853751     	6.190940e-04
0.0883001     	6.190940e-04
0.0906401     	6.190940e-04
0.0929801     	6.190940e-04
0.09532       	6.190940e-04
0.09766       	6.190940e-04
0.09883       	6.190940e-04
0.1           	6.190940e-04
0.101389      	6.190940e-04
0.102957      	6.190940e-04
0.104699      	6.190940e-04
0.106511      	6.190940e-04
0.108065      	6.190940e-04
0.109462      	6.190940e-04
0.110729      	6.190940e-04
0.111919      	6.190939e-04
0.113039      	6.190939e-04
0.114126      	6.190939e-04
0.115213      	6.190939e-04
0.1163        	6.190939e-04
0.117354      	6.190939e-04
0.118407      	6.190939e-04
0.11946       	6.190939e-04
0.120478      	6.190939e-04
0.121496      	6.190939e-04
0.122479      	6.190939e-04
0.123428      	6.190939e-04
0.124377      	6.190939e-04
0.125326      	6.190939e-04
0.126275      	6.190939e-04
0.127224      	6.190939e-04
0.128173      	6.190939e-04
0.129165      	6.190939e-04
0.130157      	6.190939e-04
0.131149      	6.190939e-04
0.132141      	6.190938e-04
0.133134      	6.190938e-04
0.134071      	6.190938e-04
0.135066      	6.190938e-04
0.136062      	6.190938e-04
0.137057      	6.190938e-04
0.138053      	6.190938e-04
0.139048      	6.190938e-04
0.140044      	6.190938e-04
0.14104       	6.190938e-04
0.142035      	6.190938e-04
0.143031      	6.190938e-04
0.144026      	6.190938e-04
0.145022      	6.190938e-04
0.146018      	6.190938e-04
0.147013      	6.190938e-04
0.148009      	6.190938e-04
0.149004      	6.190938e-04
0.15          	6.190938e-04
0.151111      	6.190937e-04
0.152333      	6.190937e-04
0.153588      	6.190937e-04
0.154842      	6.190937e-04
0.156096      	6.190937e-04
0.157351      	6.190937e-04
0.158605      	6.190937e-04
0.15986       	6.190937e-04
0.161114      	6.190937e-04
0.162368      	6.190937e-04
0.163623      	6.190937e-04
0.164877      	6.190937e-04
0.166132      	6.190937e-04
0.167386      	6.190937e-04
0.16864       	6.190937e-04
0.169846      	6.190937e-04
0.171053      	6.190937e-04
0.172259      	6.190937e-04
0.173465      	6.190937e-04
0.174671      	6.190937e-04
0.175877      	6.190937e-04
0.177083      	6.190937e-04
0.178356      	6.190937e-04
0.17963       	6.190937e-04
0.180903      	6.190937e-04
0.182176      	6.190937e-04
0.183449      	6.190937e-04
0.184722      	6.190937e-04
0.185995      	6.190937e-04
0.187269      	6.190937e-04
0.188542      	6.190937e-04
0.189815      	6.190937e-04
0.191088      	6.190937e-04
0.192361      	6.190937e-04
0.193634      	6.190938e-04
0.194907      	6.190938e-04
0.196181      	6.190938e-04
0.197454      	6.190938e-04
0.198727      	6.190938e-04
0.2           	6.190938e-04
0.201389      	6.190938e-04
0.202819      	6.190938e-04
0.204248      	6.190938e-04
0.205724      	6.190938e-04
0.2072        	6.190938e-04
0.208676      	6.190938e-04
0.210152      	6.190938e-04
0.211628      	6.190938e-04
0.213104      	6.190938e-04
0.214579      	6.190938e-04
0.215996      	6.190938e-04
0.217413      	6.190938e-04
0.21883       	6.190938e-04
0.220185      	6.190938e-04
0.22154       	6.190938e-04
0.222896      	6.190938e-04
0.224251      	6.190938e-04
0.225606      	6.190938e-04
0.22689       	6.190938e-04
0.228174      	6.190938e-04
0.229458      	6.190938e-04
0.230742      	6.190938e-04
0.232025      	6.190938e-04
0.233309      	6.190938e-04
0.234593      	6.190938e-04
0.235877      	6.190938e-04
0.237161      	6.190938e-04
0.238328      	6.190938e-04
0.239495      	6.190938e-04
0.240663      	6.190938e-04
0.24183       	6.190938e-04
0.242997      	6.190938e-04
0.244164      	6.190938e-04
0.245331      	6.190938e-04
0.246498      	6.190938e-04
0.247666      	6.190938e-04
0.248833      	6.190938e-04
0.25          	6.190938e-04
0.25122       	6.190938e-04
0.252439      	6.190938e-04
0.253628      	6.190938e-04
0.254848      	6.190938e-04
0.256069      	6.190938e-04
0.257256      	6.190938e-04
0.258477      	6.190938e-04
0.259664      	6.190938e-04
0.26085       	6.190938e-04
0.262073      	6.190938e-04
0.263259      	6.190938e-04
0.264444      	6.190938e-04
0.26567       	6.190938e-04
0.266896      	6.190938e-04
0.268078      	6.190938e-04
0.269306      	6.190938e-04
0.270534      	6.190938e-04
0.271762      	6.190938e-04
0.272989      	6.190938e-04
0.274217      	6.190938e-04
0.275445      	6.190938e-04
0.276673      	6.190938e-04
0.2779        	6.190938e-04
0.279128      	6.190938e-04
0.280356      	6.190938e-04
0.281584      	6.190938e-04
0.282899      	6.190938e-04
0.284121      	6.190938e-04
0.285342      	6.190938e-04
0.286675      	6.190938e-04
0.288007      	6.190938e-04
0.28934       	6.190938e-04
0.290672      	6.190938e-04
0.292005      	6.190938e-04
0.293337      	6.190938e-04
0.29467       	6.190938e-04
0.296002      	6.190938e-04
0.297335      	6.190938e-04
0.298667      	6.190938e-04
0.3           	6.190938e-04
0.301429      	6.190938e-04
0.302857      	6.190938e-04
0.304286      	6.190938e-04
0.305714      	6.190938e-04
0.307098      	6.190938e-04
0.308398      	6.190938e-04
0.309659      	6.190938e-04
0.310881      	6.190937e-04
0.312067      	6.190937e-04
0.313182      	6.190937e-04
0.314265      	6.190937e-04
0.315316      	6.190937e-04
0.316336      	6.190937e-04
0.317298      	6.190937e-04
0.318233      	6.190937e-04
0.31914       	6.190937e-04
0.320022      	6.190937e-04
0.320855      	6.190937e-04
0.321664      	6.190937e-04
0.322451      	6.190937e-04
0.323217      	6.190937e-04
0.323941      	6.190937e-04
0.324645      	6.190937e-04
0.32533       	6.190937e-04
0.325979      	6.190937e-04
0.326611      	6.190937e-04
0.327211      	6.190936e-04
0.327795      	6.190936e-04
0.328351      	6.190936e-04
0.328892      	6.190936e-04
0.32942       	6.190936e-04
0.329921      	6.190936e-04
0.330411      	6.190936e-04
0.330878      	6.190936e-04
0.331333      	6.190936e-04
0.331777      	6.190936e-04
0.332201      	6.190936e-04
0.332615      	6.190936e-04
0.333019      	6.190936e-04
0.333414      	6.190936e-04
0.3338        	6.190936e-04
0.334168      	6.190936e-04
0.334528      	6.190936e-04
0.33488       	6.190936e-04
0.335223      	6.190936e-04
0.335559      	6.190936e-04
0.335887      	6.190936e-04
0.336201      	6.190936e-04
0.336508      	6.190936e-04
0.336807      	6.190936e-04
0.337094      	6.190936e-04
0.337375      	6.190936e-04
0.337649      	6.190936e-04
0.337918      	6.190936e-04
